Date,Banks,Indicator
2005-12-01,PROMOBK ,185.0
2006-03-01,PROMOBK ,180.0
2006-06-01,PROMOBK ,177.0
2006-09-01,PROMOBK ,
2006-12-01,PROMOBK ,
2007-03-01,PROMOBK ,
2007-06-01,PROMOBK ,
2007-09-01,PROMOBK ,
2007-12-01,PROMOBK ,
2008-03-01,PROMOBK ,
2008-06-01,PROMOBK ,
2008-09-01,PROMOBK ,
2008-12-01,PROMOBK ,
2009-03-01,PROMOBK ,
2009-06-01,PROMOBK ,
2009-09-01,PROMOBK ,
2009-12-01,PROMOBK ,
2010-03-01,PROMOBK ,
2010-06-01,PROMOBK ,
2010-09-01,PROMOBK ,
2010-12-01,PROMOBK ,
2011-03-01,PROMOBK ,
2011-06-01,PROMOBK ,
2011-09-01,PROMOBK ,
2011-12-01,PROMOBK ,
2012-03-01,PROMOBK ,
2012-06-01,PROMOBK ,
2012-09-01,PROMOBK ,
2012-12-01,PROMOBK ,
2013-03-01,PROMOBK ,
2013-06-01,PROMOBK ,
2013-09-01,PROMOBK ,
2013-12-01,PROMOBK ,
2014-03-01,PROMOBK ,
2014-06-01,PROMOBK ,
2014-09-01,PROMOBK ,
2014-12-01,PROMOBK ,
2015-03-01,PROMOBK ,
2015-06-01,PROMOBK ,
2015-09-01,PROMOBK ,
2015-12-01,PROMOBK ,
2016-03-01,PROMOBK ,
2016-06-01,PROMOBK ,
2016-09-01,PROMOBK ,
2016-12-01,PROMOBK ,
2017-03-01,PROMOBK ,
2017-06-01,PROMOBK ,
2017-09-01,PROMOBK ,
2017-12-01,PROMOBK ,
2018-03-01,PROMOBK ,
2018-06-01,PROMOBK ,
2018-09-01,PROMOBK ,
2018-12-01,PROMOBK ,
1998-09-01,SOCABK,144.0
1998-12-01,SOCABK,150.0
1999-03-01,SOCABK,152.0
1999-06-01,SOCABK,164.0
1999-09-01,SOCABK,177.0
1999-12-01,SOCABK,188.0
2000-03-01,SOCABK,206.0
2000-06-01,SOCABK,218.0
2000-09-01,SOCABK,230.0
2000-12-01,SOCABK,236.0
2001-03-01,SOCABK,262.0
2001-06-01,SOCABK,277.0
2001-09-01,SOCABK,290.0
2001-12-01,SOCABK,302.0
2002-03-01,SOCABK,315.0
2002-06-01,SOCABK,326.0
2002-09-01,SOCABK,321.0
2002-12-01,SOCABK,329.0
2003-03-01,SOCABK,350.0
2003-06-01,SOCABK,375.0
2003-09-01,SOCABK,358.0
2003-12-01,SOCABK,377.0
2004-03-01,SOCABK,362.0
2004-06-01,SOCABK,360.0
2004-09-01,SOCABK,367.0
2004-12-01,SOCABK,392.0
2005-03-01,SOCABK,404.0
2005-06-01,SOCABK,378.0
2005-09-01,SOCABK,589.0
2005-12-01,SOCABK,498.0
2006-03-01,SOCABK,454.0
2006-06-01,SOCABK,428.0
2006-09-01,SOCABK,413.0
2006-12-01,SOCABK,424.0
2007-03-01,SOCABK,
2007-06-01,SOCABK,
2007-09-01,SOCABK,
2007-12-01,SOCABK,
2008-03-01,SOCABK,
2008-06-01,SOCABK,
2008-09-01,SOCABK,
2008-12-01,SOCABK,
2009-03-01,SOCABK,
2009-06-01,SOCABK,
2009-09-01,SOCABK,
2009-12-01,SOCABK,
2010-03-01,SOCABK,
2010-06-01,SOCABK,
2010-09-01,SOCABK,
2010-12-01,SOCABK,
2011-03-01,SOCABK,
2011-06-01,SOCABK,
2011-09-01,SOCABK,
2011-12-01,SOCABK,
2012-03-01,SOCABK,
2012-06-01,SOCABK,
2012-09-01,SOCABK,
2012-12-01,SOCABK,
2013-03-01,SOCABK,
2013-06-01,SOCABK,
2013-09-01,SOCABK,
2013-12-01,SOCABK,
2014-03-01,SOCABK,
2014-06-01,SOCABK,
2014-09-01,SOCABK,
2014-12-01,SOCABK,
2015-03-01,SOCABK,
2015-06-01,SOCABK,
2015-09-01,SOCABK,
2015-12-01,SOCABK,
2016-03-01,SOCABK,
2016-06-01,SOCABK,
2016-09-01,SOCABK,
2016-12-01,SOCABK,
2017-03-01,SOCABK,
2017-06-01,SOCABK,
2017-09-01,SOCABK,
2017-12-01,SOCABK,
2018-03-01,SOCABK,
2018-06-01,SOCABK,
2018-09-01,SOCABK,
2018-12-01,SOCABK,
1998-09-01,SOCABL,0.0
1998-12-01,SOCABL,0.0
1999-03-01,SOCABL,0.0
1999-06-01,SOCABL,0.0
1999-09-01,SOCABL,0.0
1999-12-01,SOCABL,0.0
2000-03-01,SOCABL,0.0
2000-06-01,SOCABL,0.0
2000-09-01,SOCABL,0.0
2000-12-01,SOCABL,0.0
2001-03-01,SOCABL,0.0
2001-06-01,SOCABL,0.0
2001-09-01,SOCABL,0.0
2001-12-01,SOCABL,0.0
2002-03-01,SOCABL,0.0
2002-06-01,SOCABL,20.0
2002-09-01,SOCABL,20.0
2002-12-01,SOCABL,20.0
2003-03-01,SOCABL,20.0
2003-06-01,SOCABL,23.0
2003-09-01,SOCABL,23.0
2003-12-01,SOCABL,23.0
2004-03-01,SOCABL,23.0
2004-06-01,SOCABL,23.0
2004-09-01,SOCABL,23.0
2004-12-01,SOCABL,25.0
2005-03-01,SOCABL,24.0
2005-06-01,SOCABL,25.0
2005-09-01,SOCABL,25.0
2005-12-01,SOCABL,26.0
2006-03-01,SOCABL,16.0
2006-06-01,SOCABL,
2006-09-01,SOCABL,
2006-12-01,SOCABL,
2007-03-01,SOCABL,
2007-06-01,SOCABL,
2007-09-01,SOCABL,
2007-12-01,SOCABL,
2008-03-01,SOCABL,
2008-06-01,SOCABL,
2008-09-01,SOCABL,
2008-12-01,SOCABL,
2009-03-01,SOCABL,
2009-06-01,SOCABL,
2009-09-01,SOCABL,
2009-12-01,SOCABL,
2010-03-01,SOCABL,
2010-06-01,SOCABL,
2010-09-01,SOCABL,
2010-12-01,SOCABL,
2011-03-01,SOCABL,
2011-06-01,SOCABL,
2011-09-01,SOCABL,
2011-12-01,SOCABL,
2012-03-01,SOCABL,
2012-06-01,SOCABL,
2012-09-01,SOCABL,
2012-12-01,SOCABL,
2013-03-01,SOCABL,
2013-06-01,SOCABL,
2013-09-01,SOCABL,
2013-12-01,SOCABL,
2014-03-01,SOCABL,
2014-06-01,SOCABL,
2014-09-01,SOCABL,
2014-12-01,SOCABL,
2015-03-01,SOCABL,
2015-06-01,SOCABL,
2015-09-01,SOCABL,
2015-12-01,SOCABL,
2016-03-01,SOCABL,
2016-06-01,SOCABL,
2016-09-01,SOCABL,
2016-12-01,SOCABL,
2017-03-01,SOCABL,
2017-06-01,SOCABL,
2017-09-01,SOCABL,
2017-12-01,SOCABL,
2018-03-01,SOCABL,
2018-06-01,SOCABL,
2018-09-01,SOCABL,
2018-12-01,SOCABL,
1998-09-01,SOGEBK,515.0
1998-12-01,SOGEBK,514.0
1999-03-01,SOGEBK,543.0
1999-06-01,SOGEBK,694.0
1999-09-01,SOGEBK,750.0
1999-12-01,SOGEBK,806.0
2000-03-01,SOGEBK,826.0
2000-06-01,SOGEBK,890.0
2000-09-01,SOGEBK,969.0
2000-12-01,SOGEBK,986.0
2001-03-01,SOGEBK,1130.0
2001-06-01,SOGEBK,997.0
2001-09-01,SOGEBK,1100.0
2001-12-01,SOGEBK,1042.0
2002-03-01,SOGEBK,1055.0
2002-06-01,SOGEBK,988.0
2002-09-01,SOGEBK,972.0
2002-12-01,SOGEBK,836.0
2003-03-01,SOGEBK,831.0
2003-06-01,SOGEBK,831.0
2003-09-01,SOGEBK,841.0
2003-12-01,SOGEBK,868.0
2004-03-01,SOGEBK,863.0
2004-06-01,SOGEBK,820.0
2004-09-01,SOGEBK,898.0
2004-12-01,SOGEBK,911.0
2005-03-01,SOGEBK,912.0
2005-06-01,SOGEBK,922.0
2005-09-01,SOGEBK,942.0
2005-12-01,SOGEBK,953.0
2006-03-01,SOGEBK,956.0
2006-06-01,SOGEBK,975.0
2006-09-01,SOGEBK,1192.0
2006-12-01,SOGEBK,1216.0
2007-03-01,SOGEBK,1192.0
2007-06-01,SOGEBK,1212.0
2007-09-01,SOGEBK,1168.0
2007-12-01,SOGEBK,1155.0
2008-03-01,SOGEBK,1214.0
2008-06-01,SOGEBK,1246.0
2008-09-01,SOGEBK,1245.0
2008-12-01,SOGEBK,1264.0
2009-03-01,SOGEBK,1263.0
2009-06-01,SOGEBK,1256.0
2009-09-01,SOGEBK,1272.0
2009-12-01,SOGEBK,1304.0
2010-03-01,SOGEBK,1187.0
2010-06-01,SOGEBK,1142.0
2010-09-01,SOGEBK,1108.0
2010-12-01,SOGEBK,1086.0
